CustomerID,TransactionID,TransactionDate,Amount,ProductCategory,PaymentMethod
60567026-f719-4cd6-849e-137e86d8938f,0,2024-05-15,117.64,Clothing,PayPal
4090ba85-b111-4f75-a792-c777965f5255,0,2023-04-26,466.14,Health & Beauty,Bank Transfer
9223891b-73ff-4d5c-b8ae-13ece82ee28b,0,2022-09-23,563.99,Clothing,Debit Card
9243eebc-938f-480c-8564-16d503d250de,0,2024-04-15,254.44,Automotive,PayPal
6e3e8eb8-bc0f-4ffe-9f74-5d5efec9502f,0,2024-06-03,590.52,Home & Garden,Bank Transfer
3eccdcf9-e8ce-4e44-9f62-8bef88e70672,0,2024-04-07,0.0,,Credit Card
7fbc5847-a652-4fc8-a7d8-5e85d846e91b,0,2024-01-12,0.0,Automotive,PayPal
958e5c8d-48ca-42dd-bb71-a766a374233a,0,2023-03-10,399.7,Home & Garden,PayPal
39c6e7d2-6c4b-44c0-8961-ddc1ecbdb0c6,0,2024-01-26,296.99,Clothing,PayPal
474f9233-0616-431b-b3e9-a6feabe68abb,0,2023-06-15,149.39,Clothing,Debit Card
187ec535-ad79-418a-aa08-86fd8a2becbb,0,2023-06-01,255.41,Health & Beauty,Bank Transfer
848f7178-b94b-4d8e-8baa-6a3886828887,0,2024-03-09,813.81,Electronics,Credit Card
c3a5e86e-a74b-420e-b1e7-13bcbe6b71ac,0,2022-11-06,989.99,Electronics,Debit Card
0e09f085-80ce-47c9-9fb2-e936ef0e9065,0,2024-01-28,158.35,Electronics,Bank Transfer
28c29c18-0cbe-40ea-b218-a96430cc4409,0,2023-11-08,140.88,Automotive,Credit Card
68b5a27d-980f-409d-9b64-acc242c86f8e,0,2022-07-24,775.43,Electronics,Credit Card
54b3556e-e480-41a2-9dcd-7da1d91655aa,0,2023-03-06,861.39,Clothing,Bank Transfer
decfbb11-2324-4a91-b4a4-da3011046f88,0,2024-04-17,130.53,Electronics,PayPal
5dfe3352-ee78-4510-a968-9aba1dd940a2,0,2023-05-02,140.01,Health & Beauty,Bank Transfer
